,Age,Status,Churn,Distinct Called Numbers,Percentage failed calls,Percentage SMS usage,Avg call duration,Percentage of complains vs usage,Avg nb of complains per month,Value per month
0,30,1,0,17,0.11267605633802817,0.06578947368421052,0.016247139588100687,0.0,0.0,5.201052631578947
1,25,2,0,4,0.0,0.5833333333333334,0.015723270440251572,0.0,0.0,1.1803846153846154
2,30,1,0,24,0.16666666666666666,0.8568019093078759,0.02445984508764778,0.0,0.0,41.527567567567566
3,15,1,0,35,0.15151515151515152,0.014925373134328358,0.01572177227251072,0.0,0.0,6.316315789473684
4,15,1,0,33,0.05172413793103448,0.03333333333333333,0.02423735896364396,0.0,0.0,3.8369736842105264
5,30,1,0,28,0.13414634146341464,0.2807017543859649,0.021721854304635763,0.0,0.0,7.428421052631578
6,30,1,0,18,0.10256410256410256,0.8796296296296297,0.01652542372881356,0.0,0.0,32.525263157894734
7,30,1,0,43,0.10743801652892562,0.5433962264150943,0.013274821722435546,0.0,0.0,25.552432432432433
8,30,1,0,44,0.04142011834319527,0.0,0.0122703840848036,0.0,0.0,14.67578947368421
9,30,1,0,25,0.08433734939759036,0.023529411764705882,0.01838316722037652,0.0,0.0,5.050526315789473
10,30,1,0,12,0.06315789473684211,0.06862745098039216,0.016052720513687058,0.0,0.0,7.066315789473684
11,30,2,0,17,0.16666666666666666,0.12903225806451613,0.024128686327077747,0.0,0.0,3.254736842105263
12,30,1,0,32,0.1111111111111111,0.1935483870967742,0.014861294583883751,0.0,0.0,21.857894736842105
13,30,1,0,8,0.14814814814814814,0.9470588235294117,0.008723747980613893,0.0,0.0,54.12842105263158
14,25,1,0,30,0.04945054945054945,0.45180722891566266,0.011753309654504359,0.0,0.0,37.29770270270271
15,30,1,0,26,0.03488372093023256,0.6838235294117647,0.01323076923076923,0.0,0.0,27.22810810810811
16,25,2,1,11,0.0,0.0,0.016,0.0,0.0,1.0812162162162162
17,30,2,0,8,0.14285714285714285,0.48148148148148145,0.01971830985915493,0.0,0.0,2.1305263157894734
18,25,2,1,0,0.0,0.0,0.0,0.0,0.0,0.0
19,25,1,0,43,0.023622047244094488,0.7514677103718199,0.016915290356952585,0.0,0.0,55.98851351351351
20,45,1,0,47,0.045454545454545456,0.06666666666666667,0.01343218491059747,0.0,0.0,8.59391891891892
21,25,1,0,37,0.10666666666666667,0.5901639344262295,0.011164036915748734,0.0,0.0,21.39689189189189
22,25,2,1,17,0.48936170212765956,0.25396825396825395,0.049214659685863874,0.015873015873015872,0.030303030303030304,3.5481818181818183
23,55,1,0,42,0.22580645161290322,0.010638297872340425,0.008912314326784859,0.010638297872340425,0.027777777777777776,4.428333333333333
24,25,1,1,24,0.1326530612244898,0.20967741935483872,0.01684427638363699,0.008064516129032258,0.027777777777777776,10.645000000000001
